,Title,Year,Genre,Rating,Votes
8653,Roller Town,2011,Comedy,5.9,396
8654,The Subjection,2010,Documentary,6.7,151
8655,Astro Mayabang,2010,Comedy,6.7,7
8656,Bekas,2012,"Adventure,Drama",7.6,3697
8657,Cheesecake Casserole,2012,Comedy,6.1,393
8658,If the Seed Doesn't Die,2010,"Comedy,Drama",6.6,168
8659,Dagim,2010,Horror,6.0,5
8660,Demon,2012,Horror,6.8,19
8661,Desperate Measures,2011,Thriller,6.0,82
8663,Futatabi,2010,"Drama,Music",5.3,9
8664,Hi-so,2010,Drama,6.7,93
8665,Hospitalité,2010,Comedy,6.5,293
8666,N.A.S.A.: The Spirit of Apollo,2010,"Animation,Biography,Documentary",7.0,5
8667,Silver or Lead,2010,Drama,6.7,26
8668,Red Dragonflies,2010,Drama,6.0,19
8670,Return Ticket,2011,Drama,5.1,168
8671,Rosario,2010,"Drama,Romance",7.7,59
8672,Birthright,2010,Thriller,6.0,45
8673,Slon,2010,"Adventure,Drama",7.0,68
8674,The People Speak UK,2010,"Documentary,History",5.3,15
8675,Thriller Theater!,2011,"Comedy,Drama",7.9,12
8676,Magic,2010,Romance,6.0,68
8677,Primary!,2010,Comedy,7.5,57
8678,Fatalis,2012,"Drama,History,Romance",7.7,23
8679,Felipe Canasto,2010,Drama,6.1,7
8680,Flashback,2011,"Adventure,Comedy,Sci-Fi",3.8,156
8681,"Fordson: Faith, Fasting, Football",2011,"Documentary,History,News",7.0,97
8682,Go West,2010,Comedy,7.7,15
8683,The Dunwich Horror,2010,"Drama,Fantasy,Horror",4.2,18
8684,Hooligans at War,2010,"Action,Documentary,Drama",6.7,20
8685,Hula and Natan,2010,"Comedy,Documentary,War",7.4,17
8686,Hurry Up and Wait,2011,"Documentary,Music",7.2,42
8687,Karaoke Man,2012,"Comedy,Romance",6.6,29
8688,Karla's Arrival,2011,"Documentary,Drama",6.2,18
8689,Khodorkovsky,2011,"Biography,Documentary,Drama",7.0,871
8690,King Me,2010,"Biography,Comedy,Documentary",6.8,9
8691,Love Child,2011,"Drama,Romance",6.5,145
8692,Last Nomads in Anatolia: Sarikecililer,2010,"Documentary,History",6.9,12
8693,Left by the Ship,2010,"Documentary,Drama",7.5,29
8694,Lighthouse Lane,2010,"Horror,Mystery,Thriller",5.2,16
8695,Like a Lion,2011,"Action,Biography,Documentary",7.2,21
8696,Los viejos,2011,Drama,4.7,24
8697,Ludlow,2010,"Horror,Mystery",4.8,23
8698,Zombie Diaries 2,2011,"Action,Horror,Sci-Fi",3.8,2280
8699,Skateistan: Four Wheels and a Board in Kabul,2011,Documentary,8.7,59
8700,Born Wild,2012,Drama,4.5,123
8701,The Redemption of General Butt Naked,2011,"Biography,Documentary,Drama",7.5,240
8702,Three Days of Hamlet,2012,"Comedy,Documentary,Drama",7.8,42
8703,Sole Proprietor,2016,"Action,Crime,Drama",4.0,145
8704,50/50,2010,Documentary,7.5,11
8705,Adventures of Bailey: The Lost Puppy,2010,Family,6.2,156
8706,Atrocious,2010,"Horror,Mystery,Thriller",5.1,4582
8707,Anti Gas Skin,2010,Thriller,5.7,24
8708,Dores & Amores,2010,"Drama,Romance",8.2,6
8709,Maids and Bosses,2010,Documentary,7.8,17
8710,Tales from Kars,2010,Drama,6.0,64
8711,Krishna Leelai,2010,Action,5.2,6
8712,Makkan,2011,Action,6.6,5
8713,No One Killed Jessica,2011,"Biography,Crime,Drama",7.2,10000
8714,Omae umasoudana,2010,Animation,7.3,473
8715,The Collapsed,2011,"Drama,Horror,Sci-Fi",3.6,903
8716,The Price of Sex,2011,"Crime,Documentary,Drama",7.5,147
8717,Tin Can,2010,"Drama,Sci-Fi",6.6,14
8718,Unaired,2010,"Horror,Mystery",4.4,29
8719,Uncle Melvin's Apartment,2013,Comedy,7.8,13
8720,Valor's Kids,2011,"Animation,Family,Fantasy",7.1,23
8721,Best of Luck,2010,"Comedy,Drama",2.8,91
8722,Cash Crop,2010,Documentary,6.0,84
8723,Cenizas eternas,2011,Drama,6.8,76
8724,Crayon,2010,Drama,7.8,18
8725,Dead Survivors,2010,Horror,4.8,96
8726,Childish Games,2012,"Horror,Thriller",5.6,1047
8727,The Policeman's Wife,2013,Drama,6.0,382
8728,Eden,2012,"Crime,Drama",6.7,7709
8729,Maternity Blues,2011,Drama,5.5,121
8730,My Country,2011,Drama,6.3,255
8731,Pete & Cleo,2010,"Comedy,Drama",7.5,13
8732,Public Speaking,2010,Documentary,7.7,1445
8733,Shikkar,2010,"Action,Drama,Thriller",6.2,399
8734,Toni Costa: Kommissar auf Ibiza - Der rote Regen,2011,Crime,4.6,25
8735,Unlocked,2017,"Action,Drama,Mystery",6.2,23348
8736,¿Quién dijo miedo?,2010,Documentary,7.5,13
8737,The Ruined Eye,2010,"Drama,Thriller",5.6,5
8738,The Truth: The Journey Within,2011,"Biography,Documentary,Drama",7.2,5
8739,The Color Wheel,2011,"Comedy,Romance",6.7,1184
8740,The Greater Good,2011,"Documentary,Drama",6.0,145
8741,The Roomies,2010,"Comedy,Drama",7.2,9
8742,"Lord, All Men Can't Be Dogs",2011,Comedy,6.2,57
8743,Lost in Munich,2015,"Comedy,Drama",7.0,457
8744,Lotus Eaters,2011,Drama,5.0,271
8745,Dawn of the Dragonslayer,2011,"Action,Adventure,Fantasy",4.3,1785
8746,Supercapitalist,2012,Thriller,5.3,516
8747,Unicorn City,2012,"Comedy,Romance",5.7,1190
8748,A Última Estrada da Praia,2010,"Adventure,Drama",7.0,34
8749,Fresh Flesh,2011,"Comedy,Horror",3.5,11
8750,Ghett'a Life,2011,"Action,Drama",6.8,85
8751,When Pigs Have Wings,2011,Comedy,7.0,2826
8752,Life on the V: The Story of V66,2014,"Biography,Documentary,Music",8.5,15
8753,RPG Metanoia,2010,"Adventure,Animation,Drama",6.1,141
8754,The Ballad of Des & Mo,2010,Romance,7.3,34
8755,Wonderland,2011,"Fantasy,Horror,Sci-Fi",5.0,159
8756,A Break in the Clouds,2010,"Action,Sci-Fi,Thriller",6.2,9
8757,A Girl and a Gun,2013,"Documentary,History",6.1,36
8758,A Sister's Call,2012,"Biography,Documentary,Drama",8.7,54
8759,Alexis,2014,"Action,Horror,Thriller",5.3,7
8760,Blast and Whisper,2010,"Adventure,Biography,History",6.1,23
8761,Blooded,2010,"Comedy,Horror",3.2,8
8762,Planet USA,2013,"Action,Comedy,Thriller",5.3,76
8763,Cartoneo y nopalitos,2010,Drama,8.3,16
8764,Darwin,2011,"Documentary,Drama,History",7.2,241
8765,Embraceable,2011,"Documentary,Family,Music",9.3,6
8766,Empty Rooms,2012,"Drama,Horror,Mystery",4.2,232
8767,Esoterica,2010,Thriller,5.7,13
8768,Exteriors,2011,Drama,5.2,49
8769,Dead iSland,2010,"Horror,Thriller",4.6,33
8770,Francine,2012,Drama,5.8,199
8771,Pixies,2015,"Animation,Comedy",5.7,1689
8772,The Collaborator and His Family,2011,"Crime,Documentary,Drama",8.5,57
8773,The Tunnel,2011,"Horror,Mystery,Thriller",5.9,18038
8774,This Is My Picture When I Was Dead,2010,"Documentary,Drama",7.0,34
8775,Addiction Incorporated,2011,"Biography,Documentary",6.9,105
8776,Any Questions for Ben?,2012,"Comedy,Romance",5.8,1565
8777,So Hard to Forget,2010,Drama,6.2,402
8778,Dragon Eyes,2012,"Action,Crime,Drama",4.5,5321
8779,Hanjiro,2010,Drama,6.2,8
8780,Into the Wind,2010,Documentary,8.2,136
8781,Showstopper,2012,Mystery,7.5,17
8782,Snow White and the Huntsman,2012,"Action,Adventure,Drama",6.1,258938
8783,Taped,2012,Thriller,6.2,1386
8784,The Adderall Diaries,2015,"Crime,Drama,Thriller",5.2,3582
8785,The Merry Wives of Windsor,2011,Comedy,7.7,23
8786,Treulababbu (Le ragioni dei bambini),2013,Fantasy,6.4,7
8787,Va: Quarter Cutting,2010,Comedy,6.3,302
8788,War Music,2010,"Documentary,Music,War",8.6,13
8789,White Whale,2010,"Drama,Fantasy,Sci-Fi",7.7,7
8790,Wildnis Schweiz,2010,Documentary,7.9,7
8791,¿Para qué sirve un oso?,2011,Comedy,5.5,446
8792,Five Days Gone,2010,Drama,6.9,8
8793,"Guru: Bhagwan, His Secretary & His Bodyguard",2010,"Biography,Documentary,History",7.0,121
8794,Happy Holiday,2011,"Comedy,Drama,Romance",7.4,5
8795,I Think It's Raining,2011,"Drama,Music,Romance",6.9,33
8796,Il settimo annuncio,2010,"Drama,Mystery,Thriller",1.4,5
8797,Kink Crusaders,2011,"Adventure,Biography,Documentary",6.4,37
8798,La fille de Montréal,2010,Comedy,6.9,17
8799,Last Man Standing,2010,"Biography,Crime,Documentary",5.2,22
8800,Light,2010,"Adventure,Fantasy,Sci-Fi",6.7,26
8801,Awake in the Woods,2015,"Horror,Thriller",3.0,61
8802,The Mitchell Tapes,2010,Horror,4.1,83
8803,Victims,2011,Thriller,6.9,41
8804,A Place at the Table,2012,Documentary,6.9,1060
8805,The Stand Up,2011,Drama,7.1,49
8806,The Woods,2012,"Drama,Thriller",7.5,14
8807,Utahime,2012,Comedy,6.2,12
8808,Breakaway,2011,"Comedy,Drama,Sport",5.8,2105
8809,Che: A New Man,2010,Documentary,8.3,132
8810,Cheriya Kallanum Valiya Poleesum,2010,"Comedy,Drama",2.7,11
8811,"Oslo, August 31st",2011,Drama,7.7,17235
8812,Nobody Else But You,2011,"Comedy,Crime,Mystery",6.7,2384
8813,Shakti,2011,"Action,Fantasy",3.6,810
8816,Yoyochu in the Land of the Rising Sex,2010,Documentary,6.2,12
8817,A Different Corner,2010,Drama,6.1,11
8818,A Jazzman's Jazzman: The Gerry Carruthers Story,2010,"Animation,Biography,Comedy",6.6,5
8819,AbUSed: The Postville Raid,2011,"Documentary,History,News",7.6,19
8820,Amber Lake,2011,"Drama,Thriller",5.8,378
8821,Amy Alyson Fans,2011,Comedy,7.3,25
8822,The Actor,2018,"Romance,Thriller",6.5,42
8823,Broadway's Finest,2012,"Action,Comedy,Drama",6.2,157
8824,Carol Channing: Larger Than Life,2012,"Biography,Comedy,Documentary",7.6,231
8825,Dispongo de barcos,2010,"Comedy,Drama,Mystery",6.1,73
8826,Dui Prithibi,2010,Drama,6.2,425
8827,Hangover,2010,Comedy,6.1,128
8828,Josh,2010,Action,6.3,178
8829,Kakhono Biday Bolo Na,2010,Drama,6.4,12
8830,La casa por la ventana,2010,Comedy,7.2,46
8831,Prem by Chance,2010,Romance,7.2,19
8832,Lost on Journey,2010,Comedy,6.8,1393
8833,Target,2010,Drama,6.4,14
8834,The Godmother,2011,Comedy,5.4,958
8835,The Island,2011,"Drama,Romance",5.1,705
8836,Little Glory,2011,Drama,6.2,132
8837,Wanted,2010,Action,6.3,271
8838,Yanoosak,2010,Comedy,5.9,23
8839,Melissa Mom and Me,2010,"Documentary,Drama",7.7,17
8840,Moon Ring,2011,Romance,6.5,22
8841,Mother Country,2011,"Crime,Drama",5.7,14
8842,Sobre ella,2013,"Comedy,Drama",5.2,76
8843,Night of the Alien,2011,"Comedy,Sci-Fi",4.9,49
8844,Nine Days That Changed the World,2010,"Biography,Documentary,History",6.6,38
8845,One Revolution,2011,"Adventure,Documentary,Drama",7.5,8
8846,Out of the Darkness,2011,Documentary,7.7,12
8847,Pink Skies,2011,"Action,Documentary,Drama",8.5,17
8848,Plan B,2011,"Documentary,News",7.4,17
8849,PressPausePlay,2011,"Documentary,Music",7.5,1459
8850,Pulp,2013,Comedy,6.8,178
8851,Something to Share,2010,"Comedy,Drama,Romance",7.0,23
8852,Qualia,2012,"Drama,Sci-Fi,Thriller",7.5,6
8853,Ruby Booby,2013,"Comedy,Drama",6.1,7
8854,SeaZone,2010,"Drama,Horror,Mystery",5.9,153
8855,Seed Money: The Chuck Holmes Story,2015,"Biography,Documentary,History",6.1,81
8856,Ser,2010,"Drama,Family,Romance",7.6,17
8857,Sex Equo,2011,"Comedy,Drama",5.2,11
8858,Something Ventured,2011,"Biography,Documentary,History",7.0,634
8859,Sunny Side Up,2010,"Comedy,Drama,Thriller",6.6,7
8860,Sweet Darling,2010,"Drama,Family,Romance",6.0,7
8861,Thanks,2011,Comedy,6.9,45
8862,Garden of Hedon,2011,"Horror,Mystery",3.6,104
8863,5 Souls,2013,"Horror,Thriller",3.4,247
8864,Alien Rising,2013,"Action,Sci-Fi,Thriller",3.1,311
8865,The Love Patient,2011,"Comedy,Romance",5.3,403
8866,Khichdi: The Movie,2010,"Comedy,Family",7.2,1691
8867,Lengua materna,2010,Comedy,7.0,27
8868,Natale in Sudafrica,2010,Comedy,3.2,588
8869,Pizza Shop: The Movie,2013,Comedy,6.8,12
8870,Honour,2014,Thriller,6.0,923
8871,Just 45 Minutes from Broadway,2012,Drama,5.0,40
8872,The Dynamiter,2011,Drama,6.9,540
8873,Who Else to Blame?,2011,"Crime,Horror,Thriller",3.2,5
8874,The River Murders,2011,"Crime,Mystery,Thriller",5.2,3828
8875,All Together Now,2013,"Comedy,Drama",7.1,49
8876,Engeyum Kadhal,2011,Romance,4.8,570
8877,Licht in leeren Häusern,2010,"Mystery,Romance,Thriller",7.3,12
8878,Myths and Legends: The New Alliance,2010,"Adventure,Family,Fantasy",4.1,96
8879,NYman with a Movie Camera,2010,Documentary,5.5,15
8880,Pokémon the Movie: White - Victini and Zekrom,2011,"Adventure,Animation,Drama",6.1,1204
8881,SR: Saitama no rappâ - Rôdosaido no toubousha,2012,"Comedy,Drama,Music",1.6,481
8882,The Mudman,2011,"Drama,Fantasy",8.2,16
8883,Viktor & I: An Alexander Vesely Film,2010,"Biography,Documentary,History",9.2,9
8884,City Slacker,2012,Romance,5.0,142
8885,Laughing to the Bank,2011,Comedy,4.4,45
8886,Open Secret,2011,Documentary,6.5,39
8887,Chassis,2010,Drama,5.8,12
8888,Motorway,2012,"Action,Crime,Drama",5.9,1516
8889,Nobody,2010,"Drama,Romance",5.9,366
8890,Payback,2010,"Action,Crime,Drama",5.5,58
8891,Pompeya,2010,"Action,Crime",6.8,35
8892,The Reach of Resonance,2012,"Documentary,History,Music",8.8,6
8893,The Trip,2010,"Comedy,Drama",7.0,20080
8894,A Burning Hot Summer,2011,Drama,5.0,1795
8895,"Alicia, Go Yonder",2010,Drama,5.5,52
8896,Wan Chai Baby,2010,Drama,4.5,17
8897,Ad ogni costo,2010,"Crime,Drama,Thriller",7.7,15
8898,Angst,2010,"Adventure,Documentary",6.6,18
8899,Charlie Casanova,2011,"Crime,Drama,Thriller",5.3,369
8900,Chitkabrey,2011,"Drama,Mystery,Thriller",4.1,124
8901,Deep in the Clouds,2010,Drama,2.2,81
8902,Esposito,2011,Comedy,6.9,14
8903,Toryboy the Movie,2010,"Biography,Documentary,News",8.7,60
8904,Butcher Boys,2012,"Action,Comedy,Horror",3.6,1423
8905,Cehennem 3D,2010,Horror,3.1,524
8906,Eternity,2010,Musical,6.9,187
8907,No lo llames amor... llámalo X,2011,Comedy,3.9,379
8908,Histórias de Alice,2016,"Drama,Romance",4.2,10
8909,Harbi define,2010,Comedy,3.7,321
8910,Nargis: When Time Stopped Breathing,2010,Documentary,8.5,13
8911,Roda tsanta kai kopana,2011,Comedy,1.9,636
8912,So Hot Was the Cannon,2014,"Drama,War",6.3,112
8913,Beach Spike,2011,"Action,Sport",4.4,233
8914,Benny and Babloo,2010,"Comedy,Drama",6.1,298
8915,Dus Tola,2010,"Comedy,Drama",6.9,270
8916,Inkosari,2010,Drama,6.4,48
8917,Ash Runners,2010,Documentary,8.0,11
8918,The Man,2017,Drama,6.3,513
8919,Midori-ko,2010,"Animation,Horror,Sci-Fi",6.1,76
8920,The Dark Forest,2014,"Action,Drama,Thriller",6.7,19
8921,Titans of Yoga,2010,Documentary,5.8,6
8922,Trollhunter,2010,"Drama,Fantasy,Horror",7.0,63470
8923,Troma Is Spanish for Troma,2010,Documentary,6.2,19
8924,Mere Brother Ki Dulhan,2011,"Comedy,Family,Romance",5.9,8285
8925,"Video Nasties: Moral Panic, Censorship & Videotape",2010,Documentary,7.9,1067
8926,3.14...,2014,"Drama,Fantasy",7.3,27
8927,Rough,2011,Drama,6.8,39
8928,Bigfoot: The Lost Coast Tapes,2012,"Horror,Mystery,Thriller",4.5,2202
8929,Schenk mir dein Herz,2010,"Comedy,Drama",6.5,55
8930,Focus: A Documentary,2010,"Biography,Documentary,Sport",8.0,44
8931,Going Thru a Thing,2011,"Comedy,Crime,Drama",4.8,21
8932,Gol a Gol,2010,"Drama,Musical,Sci-Fi",5.6,7
8933,Good Night Good Morning,2010,"Drama,Romance",6.7,407
8934,House Swap,2010,"Horror,Thriller",3.7,237
8935,How Can You Tell If the Little Fish Are Happy?,2010,Documentary,8.8,9
8936,Hypothesis,2010,"Biography,Documentary,Mystery",7.9,30
8937,Clive Barker Presents Jojo Baby,2013,Documentary,8.3,6
8938,American Joyride,2011,"Adventure,Comedy,Drama",5.1,38
8939,KingBreaker,2010,"Action,Adventure,Thriller",6.0,18
8940,Kundalini,2010,"Documentary,Family,History",6.9,12
8941,The Sentiment of the Flesh,2010,"Drama,Mystery,Romance",5.2,265
8942,My Reincarnation,2011,"Adventure,Biography,Documentary",6.2,220
8943,Lesson Plan,2011,"Biography,Documentary,History",7.4,116
8944,Lisl and the Lorlok,2011,"Drama,Fantasy",5.0,20
8945,Lonely Planet,2011,"Adventure,Drama",6.5,13
8946,Love on a Leash,2010,"Documentary,Family,Romance",9.7,25
8947,The Destiny of Lesser Animals,2011,"Crime,Drama",7.7,34
8948,The Other Side,2011,Crime,8.2,10
8949,Unter Nachbarn,2011,"Drama,Thriller",7.2,578
8950,Kart Across America,2011,Documentary,9.1,12
8951,I Am,2010,Documentary,7.6,3299
8952,Pawn Shop Chronicles,2013,"Action,Comedy,Crime",6.0,9955
8953,Flower Buds,2011,Drama,6.6,175
8954,Secret in Their Eyes,2015,"Crime,Drama,Mystery",6.3,37455
8955,Cowboy,2011,Drama,6.4,196
8956,Gekijouban hontou ni atta kowai hanashi 3D,2010,Horror,5.8,6
8957,Le Chakka,2010,Comedy,5.3,203
8958,A Gang Story,2011,"Drama,Thriller",7.0,7111
8959,Afghan Hound,2010,"Drama,War",8.6,21
8960,L'appât,2010,"Action,Comedy,Crime",4.2,272
8961,Muerte en alto contraste,2010,Action,5.8,33
8962,Preludio,2010,Drama,6.5,124
8963,Sarangi museoweo,2011,"Comedy,Drama,Romance",5.7,190
8964,The Last Man,2010,Horror,3.2,27
8965,Wintervention,2010,"Documentary,Sport",7.4,27
8966,The Cinema Hold Up,2011,Drama,5.8,110
8967,Best Intentions,2011,Drama,6.7,466
8968,Spitfire Sisters,2010,Documentary,8.4,17
8969,Americano,2011,Drama,5.2,855
8970,"We Can't Change the World. But, We Wanna Build a School in Cambodia.",2011,Drama,6.7,43
8971,Jersey Boys,2014,"Biography,Drama,Music",6.8,30410
8972,Mapa Para Conversar,2012,"Drama,Romance",5.4,38
8973,Mrs. Carey's Concert,2011,"Documentary,Drama,Family",7.1,126
8974,Music from the Big House,2010,"Documentary,Music,Musical",8.5,80
8975,My Barefoot Friend: The Story of Shallim and His Old Rickshaw,2010,"Documentary,Drama",7.2,25
8976,Only a Number,2010,"Biography,Documentary,History",8.6,7
8977,Opus K,2011,"Drama,Mystery,Thriller",8.0,5
8978,Pink Gang,2010,Documentary,7.8,8
8979,Purple Mind,2011,"Drama,Family,War",4.1,9
8980,Queenie: Priestess of the Ghetto,2011,"Action,Comedy,Drama",5.6,10
8981,Red Tide,2011,"Crime,Drama",8.3,48
8982,Rideshare,2011,Comedy,5.9,58
8983,Southland of the Heart,2010,Drama,8.2,6
8984,Position Among the Stars,2010,"Documentary,History",7.9,273
8985,Sudbina broja 13,2010,Documentary,8.2,27
8986,Thana Theke Aschi,2010,Thriller,7.1,318
8987,Dunno Y Na Jaane Kyun...,2010,"Drama,Romance",3.8,135
8988,Black Tar Road,2016,"Crime,Drama,Romance",3.5,238
8989,Little Red,2012,Drama,6.1,30
8990,Sanctioned to Die,2011,"Action,Crime,Drama",4.0,102
8991,Sabotage,2014,"Action,Crime,Drama",5.7,55597
8992,The Golden Veil,2011,Drama,6.4,165
8993,Your Sister's Sister,2011,"Comedy,Drama",6.7,24780
8994,I Don't Know How She Does It,2011,"Comedy,Romance",4.9,18552
8995,The Colombian Connection,2011,"Action,Crime,Mystery",4.0,247
8996,An Ordinary Family,2011,"Comedy,Drama",6.4,111
8997,The Manifesto,2010,"History,Horror,Thriller",5.9,22
8998,Universo Servilleta,2010,Drama,6.3,29
8999,Dance of the Steel Bars,2013,Drama,7.8,33
9000,Guido,2011,Action,6.8,466
9001,Pappu,2010,Comedy,4.8,12
9002,Storm War,2011,"Action,Drama,Sci-Fi",3.3,782
9003,Petrang kabayo,2010,"Comedy,Fantasy",5.0,111
9004,Red Eagle,2010,"Action,Sci-Fi,Thriller",5.4,775
9005,The Greatest Movie Ever Sold,2011,"Comedy,Documentary",6.6,14214
9006,Guilty of Romance,2011,"Drama,Horror,Romance",6.8,3834
9007,10 Days to Die,2010,"Horror,Thriller",3.5,20
9008,Beheading Buddha,2010,"Comedy,Drama,Fantasy",8.2,6
9009,Donovan's Echo,2011,"Drama,Fantasy,Mystery",6.2,1469
9010,Fallen Before Falling,2010,Drama,7.1,15
9011,Kill All Redneck Pricks: A Documentary Film about a Band Called KARP,2011,"Biography,Documentary",8.7,19
9012,Libertopia,2010,"Documentary,News",7.4,30
9013,The Solitary Alchemist,2010,Documentary,8.8,9
9014,Yuma,2012,"Action,Crime,Drama",6.1,879
9015,When the Lights Went Out,2012,Horror,5.4,4332
9016,DisOrientation,2012,Comedy,3.1,426
9017,A Light in the Dark: The Art & Life of Frank Mason,2011,"Biography,Documentary,History",9.2,33
9018,A Yell from Heaven,2011,Drama,6.9,84
9019,All That Remains,2011,Drama,7.9,45
9020,Berlin: Hasenheide,2010,Documentary,5.2,6
9021,Daytona Dream,2010,"Documentary,Sport",7.0,8
9022,Everywhere,2010,Comedy,4.6,26
9023,Kleinstatthelden,2010,"Comedy,Drama",6.7,11
9024,My Little Demon,2012,"Mystery,Thriller",7.6,5
9025,No Look Pass,2011,"Biography,Documentary,Family",7.4,47
9026,Ramayana: The Epic,2010,"Adventure,Animation,Family",6.0,352
9027,The Mayor,2011,"Comedy,Documentary,Drama",8.9,49
9028,Wolfe with an E,2011,"Comedy,Music,Sci-Fi",5.0,18
9029,"1,000 Times More Brutal",2012,"Action,Crime",4.6,393
9030,Heaven Ain't Hard to Find,2010,Family,4.1,27
9031,Inale,2010,Musical,7.0,31
9032,Ray Charles America,2010,"Documentary,Music",6.8,13
9033,Better Life,2010,Drama,7.6,41
9034,The Kate Logan Affair,2010,"Drama,Thriller",4.8,566
9035,Apart,2010,"Drama,Romance",4.6,29
9036,Arab Attraction,2010,"Biography,Documentary",5.0,22
9037,Au cas où je n'aurais pas la palme d'or,2011,"Biography,Comedy,Family",5.9,27
9038,Calvet,2011,"Biography,Documentary",7.8,41
9039,Incendiary: The Willingham Case,2011,"Crime,Documentary,Drama",7.7,67
9040,Let's Make a Movie,2012,Comedy,7.9,93
9041,Un jour mon père viendra,2012,Comedy,5.6,344
9042,A King for Patagonia,2011,"Adventure,Biography,Documentary",8.0,13
9043,Mystikal,2010,"Adventure,Animation,Family",3.5,80
9044,The Opening,2011,Drama,6.5,8
9045,Volar,2012,Documentary,7.2,8
9046,1MC: Something of Vengeance,2010,"Comedy,Crime,Drama",7.5,92
9047,5th & Alameda,2011,"Drama,Thriller",6.2,31
9048,Children of the Corn: Genesis,2011,"Horror,Thriller",3.8,2839
9049,The Wall,2012,"Drama,Fantasy,Mystery",6.8,5484
9050,Diwana,2010,Drama,7.3,17
9051,Found in Time,2012,"Sci-Fi,Thriller",4.7,155
9052,Four Tanks and a Healer,2011,Animation,7.4,16
9053,7 Days in Heaven,2010,"Drama,Family",6.0,360
9054,Girls! Girls! Girls!,2011,"Action,Comedy,Drama",4.4,35
9055,Gore Vidal: The United States of Amnesia,2013,"Biography,Documentary,History",7.7,1131
9056,Buddha Mountain,2010,Drama,6.7,704
9057,Heroic Ambition,2010,"Documentary,Family,Fantasy",7.0,7
9058,Holbrook/Twain: An American Odyssey,2014,Documentary,9.2,16
9059,Ishmael,2010,"Action,Drama",6.6,5
9060,Julius Caesar,2011,Drama,7.6,31
9061,Last Kind Words,2012,"Drama,Horror,Mystery",4.9,1652
9062,Life Express,2010,Drama,4.9,38
9063,Megha Sabari Re Asiba Pheri,2010,Drama,6.2,5
9064,Mortifera,2010,"Fantasy,Sci-Fi,Thriller",6.9,8
9065,My Heart Is an Idiot,2010,"Documentary,Drama,Romance",8.2,10
9066,Norman Wisdom: His Story,2010,Biography,8.1,22
9067,Girl Meets Boy,2013,Comedy,4.2,190
9068,The Tribe,2014,"Crime,Drama",7.1,9313
9069,Prema Adhei Akshyara,2010,Drama,6.7,13
9071,Race to the Bottom of the Earth,2011,"Adventure,Documentary,History",7.8,17
9072,Ringing in Their Ears,2011,Drama,5.5,47
9073,Silent Anna,2010,"Drama,Romance,Western",3.9,14
9074,Snow,2010,"Drama,Romance",7.6,14
9075,Solartaxi: Around the World with the Sun,2010,"Adventure,Documentary",7.6,23
9076,Solito,2013,"Comedy,Drama",8.1,28
9077,Urumi: The Warriors Who Wanted to Kill Vasco Da Gama,2011,"Action,Drama",7.0,1557
9078,Wages of Sin,2011,Drama,2.4,160
9079,Freaks in Love,2011,"Biography,Documentary,History",7.9,9
9080,In the Devil's Courthouse,2011,"Horror,Thriller",4.7,50
9081,Into the Zone: The Story of the Cacophony Society,2012,"Adventure,Comedy,Documentary",4.4,8
9082,Congo: An Irish Affair,2011,"Action,Documentary,History",8.9,8
9083,Leila,2011,"Drama,Thriller",5.2,54
9084,Li ké terra,2010,"Biography,Documentary,Family",7.7,22
9085,Lost Forever,2011,Documentary,7.9,40
9086,Manalive,2012,"Comedy,Crime,Drama",7.1,8
9087,Rites of Passage,2012,Thriller,4.1,1355
9088,The Bloody Indulgent,2014,"Comedy,Horror,Musical",4.9,56
9089,"We're the Weakerthans, We're from Winnipeg",2010,"Documentary,Music",7.5,17
9090,A Matter of Taste: Serving Up Paul Liebrandt,2011,"Biography,Documentary",7.1,420
9091,Crime After Crime,2011,"Biography,Crime,Documentary",7.6,455
9092,Finding Gauguin,2010,History,6.6,9
9093,Hugh and Heke,2010,"Comedy,Family",6.9,14
9094,Kochegar,2010,"Crime,Drama",6.6,1580
9095,Michael Nyman in Progress,2010,"Documentary,Music",6.2,20
9096,Nosferatu. Uzhas nochi,2010,"Animation,Horror,Thriller",4.3,95
9097,Priklyucheniya v tridesyatom tsarstve,2010,"Family,Musical",2.1,56
9098,"Small, Beautifully Moving Parts",2011,Comedy,5.7,251
9099,Dark World,2010,"Adventure,Fantasy,Mystery",4.7,941
9100,The Beast Pageant,2010,"Adventure,Fantasy,Musical",7.5,40
9101,Wish Me Away,2011,"Biography,Documentary,Music",7.5,327
9102,Fathoms Deep,2011,Crime,7.3,39
9103,Kono sora no hana: Nagaoka hanabi monogatari,2012,Drama,6.6,51
9104,Transgression,2011,"Drama,Thriller",3.7,138
9105,A Little Less Something,2010,Drama,6.3,10
9106,Before Opening Night,2010,"Comedy,Drama",7.2,46
9107,Frohes Schaffen - Ein Film zur Senkung der Arbeitsmoral,2012,"Comedy,Documentary,News",7.1,130
9108,Bad Posture,2011,"Drama,Romance",6.5,80
9109,Bicycle Day,2011,Thriller,6.2,83
9110,Blood Ties,2013,"Action,Crime,Drama",6.5,17771
9111,Cassadaga,2011,"Horror,Thriller",5.3,3134
9112,Dick Night,2011,"Comedy,Horror",6.6,46
9113,Dick Smith's Population Puzzle,2010,Documentary,6.9,10
9115,Three Quarter Moon,2011,"Comedy,Drama",7.0,713
9116,El camino del vino,2010,"Comedy,Drama",7.6,31
